"ug","shear","ub","ur","u:0","u:1","u:2","twist","isotropic","uniaxial","Points:0","Points:1","Points:2"
0.60178,0.0076935,-0.13632,-0.46546,0.05843,0.00044903,0,0.0061841,-0.00016946,0.0016349,628.31,145.62,0
-0.00032351,0.0076458,-0.022685,0.023008,-0.00074623,-0.002326,0,0.0059035,-0.00096445,0.0011407,621.88,141.69,0
0.48681,0.0069197,-0.28548,-0.20133,0.041764,-0.017542,0,0.0046083,-0.00082927,0.0017331,618.44,145.23,0
0.60178,0.0077788,-0.13632,-0.46546,0.05843,0.00044903,0,0.0062896,8.0372e-05,0.0013775,628.31,145.62,0
0.9995,0.0067999,-0.4737,-0.5258,0.089279,-0.024526,0,0.0039429,-0.00056311,0.0025841,620.48,149.21,0
0.48681,0.0069952,-0.28548,-0.20133,0.041764,-0.017542,0,0.0046655,-0.0010627,0.0019612,618.44,145.23,0
-0.011497,0.005911,-0.14809,0.15959,-0.0058498,-0.015409,0,0.0051124,-0.0013311,0.0010743,611.97,141.19,0
0.44775,0.0046639,-0.36867,-0.07908,0.03508,-0.026977,0,0.0047404,-0.001183,0.0015498,608.57,145.22,0
0.48681,0.0067108,-0.28548,-0.20133,0.041764,-0.017542,0,0.0047139,-0.0010877,0.0020439,618.44,145.23,0
0.99626,0.0050296,-0.63121,-0.36505,0.083994,-0.0407,0,0.005107,-0.001048,0.0020295,610.63,149.92,0
0.44775,0.0049917,-0.36867,-0.07908,0.03508,-0.026977,0,0.0050683,-0.0011605,0.0015263,608.57,145.22,0
0.48681,0.0065454,-0.28548,-0.20133,0.041764,-0.017542,0,0.0045477,-0.0013202,0.0022768,618.44,145.23,0
0.99343,0.0038369,-0.63063,-0.3628,0.083717,-0.040709,0,0.0043318,-0.00062883,0.0021467,591.05,152.44,0
1.6787,0.0035024,-0.97509,-0.70363,0.14431,-0.059535,0,0.0038461,0.00053788,0.0024581,589.2,160.79,0
1.6917,0.0042488,-0.96706,-0.72464,0.14592,-0.058404,0,0.0049497,0.00023566,0.0023695,598.5,157.83,0
1.706,0.0026582,-0.9748,-0.73125,0.14717,-0.058852,0,0.0023598,0.0011605,0.00088452,591.94,160.18,0
1.6787,0.0026022,-0.97509,-0.70363,0.14431,-0.059535,0,0.002355,0.0010882,0.0011482,589.2,160.79,0
1.6917,0.0039776,-0.96706,-0.72464,0.14592,-0.058404,0,0.0036896,0.0015491,0.00056965,598.5,157.83,0
0.99186,0.003162,-0.64836,-0.3435,0.082997,-0.042559,0,0.003484,-0.00024127,0.0020278,581.42,154.62,0
1.6296,0.0027096,-0.98135,-0.64822,0.13899,-0.061349,0,0.0030592,0.00060008,0.0023635,580.04,164.17,0
1.6787,0.0032819,-0.97509,-0.70363,0.14431,-0.059535,0,0.0039299,0.00048904,0.0025011,589.2,160.79,0
1.6948,0.0019371,-0.97774,-0.71709,0.14591,-0.059421,0,0.0010909,0.0017359,0.00026208,583.01,164.33,0
1.6296,0.0021342,-0.98135,-0.64822,0.13899,-0.061349,0,0.0017725,0.0012199,0.0010562,580.04,164.17,0
1.6787,0.0028866,-0.97509,-0.70363,0.14431,-0.059535,0,0.0025496,0.0014953,0.00083934,589.2,160.79,0
0.99224,0.0025956,-0.67373,-0.31851,0.082239,-0.045141,0,0.0029859,5.3949e-05,0.0019873,572.01,157.61,0
1.5837,0.0021935,-0.98501,-0.59869,0.1341,-0.06282,0,0.0026351,0.00057951,0.0021232,571.06,168,0
1.6296,0.0025282,-0.98135,-0.64822,0.13899,-0.061349,0,0.0031656,0.00056633,0.0023158,580.04,164.17,0
1.6524,0.0016526,-0.98002,-0.67236,0.14141,-0.060669,0,0.00083216,0.0015768,0.00019256,574.09,168.51,0
1.5837,0.0018497,-0.98501,-0.59869,0.1341,-0.06282,0,0.0015234,0.0011675,0.00091359,571.06,168,0
1.6296,0.0021755,-0.98135,-0.64822,0.13899,-0.061349,0,0.0018552,0.0013322,0.00083963,580.04,164.17,0
0.99356,0.0021512,-0.69321,-0.30036,0.081765,-0.0471,0,0.0026701,0.00024249,0.0019243,562.85,161.28,0
1.5578,0.0018576,-0.98758,-0.57021,0.13132,-0.063701,0,0.002399,0.00061511,0.0019524,562.37,172.45,0
1.5837,0.0020462,-0.98501,-0.59869,0.1341,-0.06282,0,0.0027531,0.00060359,0.0021025,571.06,168,0
1.6155,0.001497,-0.98352,-0.63202,0.13746,-0.061906,0,0.0007514,0.0013826,0.00020626,565.26,172.86,0
1.5578,0.00164,-0.98758,-0.57021,0.13132,-0.063701,0,0.0013508,0.0011029,0.00081685,562.37,172.45,0
1.5837,0.0018508,-0.98501,-0.59869,0.1341,-0.06282,0,0.0015777,0.0012105,0.00079425,571.06,168,0
0.99479,0.0018501,-0.70418,-0.29061,0.081549,-0.048193,0,0.0025303,0.00036176,0.0019039,553.96,165.59,0
1.5427,0.001655,-0.98906,-0.55362,0.1297,-0.064214,0,0.0022435,0.00061354,0.0018242,553.88,177.26,0
1.5578,0.0017594,-0.98758,-0.57021,0.13132,-0.063701,0,0.0024638,0.00063483,0.0019164,562.37,172.45,0
1.5906,0.001489,-0.98618,-0.60441,0.13478,-0.062775,0,0.0007908,0.001312,0.00023311,556.57,177.49,0
1.5427,0.0015265,-0.98906,-0.55362,0.1297,-0.064214,0,0.0012682,0.001047,0.00076467,553.88,177.26,0
1.5578,0.0016213,-0.98758,-0.57021,0.13132,-0.063701,0,0.0014057,0.0011065,0.00076609,562.37,172.45,0
0.99653,0.0016591,-0.70846,-0.28807,0.081595,-0.048589,0,0.0024527,0.00041394,0.0018509,545.27,170.29,0
1.539,0.001493,-0.99031,-0.54871,0.12928,-0.064428,0,0.0021372,0.00059479,0.0017321,545.59,182.42,0
1.5427,0.0015707,-0.98906,-0.55362,0.1297,-0.064214,0,0.0023037,0.00064088,0.0018011,553.88,177.26,0
1.5805,0.0014256,-0.98771,-0.59284,0.13368,-0.063171,0,0.00075542,0.0012266,0.00023218,548.14,182.58,0
1.539,0.001425,-0.99031,-0.54871,0.12928,-0.064428,0,0.0011895,0.00098603,0.00070911,545.59,182.42,0
1.5427,0.0015102,-0.98906,-0.55362,0.1297,-0.064214,0,0.0013158,0.0010605,0.00072951,553.88,177.26,0
